DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-03-03 04:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1811.86	2022-03-03 07:16:19
2022-03-03 03:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1643.03	2022-03-03 06:16:17
2022-03-03 02:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1600.61	2022-03-03 05:16:10
2022-03-03 01:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1532.61	2022-03-03 05:16:10
2022-03-03 00:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1463.2	2022-03-03 03:16:14
2022-03-02 23:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1457.24	2022-03-03 03:16:14
2022-03-02 22:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1482.41	2022-03-03 00:16:14
2022-03-02 21:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1579.5	2022-03-02 23:16:03
2022-03-02 20:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1679.78	2022-03-02 23:16:03
2022-03-02 19:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1749.54	2022-03-02 21:16:10
2022-03-02 18:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1911.07	2022-03-02 21:16:10
2022-03-02 17:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1959.78	2022-03-02 20:16:11
2022-03-07 07:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2100.01	2022-03-07 09:17:03
2022-03-07 06:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2126.48	2022-03-07 09:17:03
2022-03-07 05:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2048.69	2022-03-07 09:17:03
2022-03-07 04:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1915.44	2022-03-07 09:17:03
2022-03-07 03:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1739.87	2022-03-07 06:16:07
2022-03-07 02:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1644.2	2022-03-07 05:15:58
2022-03-07 01:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1613.56	2022-03-07 04:15:58
2022-03-07 00:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1496.11	2022-03-07 03:16:10
2022-03-06 23:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1475.38	2022-03-07 02:16:17
2022-03-06 22:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1539.43	2022-03-07 01:16:11
2022-03-06 21:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1648.52	2022-03-07 01:16:11
2022-03-06 20:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1713.47	2022-03-06 23:15:57
2022-03-06 19:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1862.26	2022-03-06 22:16:06
2022-03-06 18:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1967.99	2022-03-06 22:16:06
2022-03-06 17:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2025.92	2022-03-06 20:16:07
2022-03-06 16:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2123.29	2022-03-06 19:16:14
2022-03-06 15:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2101.73	2022-03-06 19:16:14
2022-03-06 14:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	2001.35	2022-03-06 17:16:15
2022-03-06 13:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1985.95	2022-03-06 17:16:15
2022-03-06 12:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1943.33	2022-03-06 15:16:12
2022-03-06 11:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1939.84	2022-03-06 14:16:10
2022-03-06 10:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1918.53	2022-03-06 14:16:10
2022-03-06 09:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1957.86	2022-03-06 12:16:13
2022-03-06 08:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1988.11	2022-03-06 12:16:13
2022-03-06 07:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1958.64	2022-03-06 10:16:23
2022-03-06 06:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1937.77	2022-03-06 10:16:23
2022-03-06 05:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1892.6	2022-03-06 10:16:23
2022-03-06 04:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1724.17	2022-03-06 10:16:23
2022-03-06 03:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1644.3	2022-03-06 06:16:13
